Country,Country Code,Series,Series Code,1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023]
Brazil,BRA,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,0,0,0,0,0,0,0,501247.75330897,769325.174055611,849442.400268956,883740.939272587,865052.772310209,600175.207084187,655276.061897949,564039.044847272,521726.333565803,562093.844804555,669192.913603773,895720.71959369,1106834.67275546,1402981.17216212,1721486.61111193,1693654.86163349,2210004.02755219,2617314.28506477,2469664.29013954,2474531.93381821,2460048.63474818,1822010.12654049,1809238.93377809,2064147.23916087,1925893.79707067,1874117.02286244,1485359.0475611,1650324.73192294,1921036.40169948,497673.803434744
Brunei,BRN,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei,BRN,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,0,0,0,0,0,0,0,0,35328.2482179631,37693.4428052516,32241.8462348969,33665.5648070025,30893.2887989041,32679.0049571041,33954.3142694183,35905.955036493,37790.2004243086,40289.5292091193,43090.0635097572,45996.8536337912,49196.460018709,52179.6336913612,50359.0276878555,51060.9740497022,52264.3396370905,52522.7439397672,52211.4941326331,52805.1042090598,54564.9435799957,56242.5873460089,57809.0278090193,59461.7406186928,61795.411859949,59310.6938296086,63524.9498703463,65909.5189546758,16698.9876802838
Bulgaria,BGR,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,0,0,0,0,0,0,0,0,18835.8116003852,13731.1496356729,11333.6127647729,15015.9686390374,13587.5183030801,13258.5706778508,14208.1093980397,16519.1953802141,21216.2189671052,26175.9265259957,29789.5536041574,34293.4062868385,44392.5356058476,54558.8309419572,52122.399519697,50578.7661072679,57815.7098354101,54275.8987146632,55859.2015108894,56926.9660139084,50788.1233877941,53867.6108910342,59300.416050467,66243.0629276161,68926.2347951799,70311.3719565605,83743.6405419195,88625.1604020238,25193.4132271847
Burkina Faso,BFA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
